Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
599473,The Nude Party,Tree of Love,4koVNIxm9PQOhRvKQMdBPh,32,2023,garage,0.56,0.79,11,-5.139,1,0.0275,0.146,0.00253,0.209,0.884,90.075,133237,4
531024,Edy Hafler,Someone You Loved,7rwGfeEc241uQd8eAeCX5X,22,2022,acoustic,0.58,0.233,5,-13.666,1,0.0484,0.972,0.91,0.108,0.278,113.616,185817,4
994205,Marc Maron,Clinton-Bush / Why Do They Hate Us? / Florida / Al-Qaeda Fighters at the Bed & Breakfast / Heroin Task Force / Marine in the Basement,1jUvLLc08qa7u4V65wsuj7,9,2005,comedy,0.431,0.897,5,-6.904,0,0.898,0.716,0.0,0.861,0.468,84.948,482371,4
351462,The Lawrence Arms,Boatless Booze Cruise Part 1,0RRRPFd7JlYBvzbqPNWwy6,6,2018,power-pop,0.3,0.935,4,-5.377,1,0.0318,0.0012,0.795,0.108,0.922,154.224,207667,4
163931,Julien Baker,Something,0BhM0Kr7Gc4uOIdVE3lXvt,35,2015,ambient,0.371,0.198,9,-7.261,1,0.0324,0.79,3.66e-05,0.161,0.0996,135.138,232551,3
346042,ERRA,Expiate,5bdOglxNMtgkT1dhCCMayc,33,2018,metal,0.513,0.99,6,-2.731,1,0.124,0.000178,0.0,0.303,0.269,130.032,213480,4
1364993,Buckcherry,Recovery,5AGdCSDPfEmMp6elkrzKWO,12,2010,hard-rock,0.351,0.977,9,-3.202,1,0.0927,0.0012,2.08e-05,0.378,0.45,161.967,179658,4
1226610,Treasure Fingers,Cross the Dancefloor,6C7Ei7QhvnjI9RwpDqrJqb,19,2008,house,0.811,0.662,6,-7.197,0,0.143,0.0695,0.0,0.235,0.97,125.002,293631,4
133630,Within Temptation,Ice Queen - Elements Live in Concert,61zmbgsBGMApoLwh6yjeTm,5,2014,goth,0.429,0.887,8,-5.717,0,0.0471,0.00379,1.35e-05,0.99,0.333,92.538,294253,4
1309327,Count Basie,There Will Never Be Another You - Live,284rd5p0MdzO6NJA5LR0Sb,3,2009,piano,0.416,0.554,0,-10.206,0,0.138,0.818,0.243,0.98,0.665,78.855,187053,4
593464,Ron Costa,Stripped Down - Tyler Hill Remix,652OH1ezhOBlxdHF2sgC5h,6,2023,deep-house,0.807,0.69,9,-12.181,1,0.0573,0.00115,0.894,0.0998,0.685,126.001,335258,4
